Review,Sentiment
This is something I already knew. I thought I was gonna learn more.,Positive
"It’s easy, intuitive and structured in a way to help you learn",Positive
Practical ideas that are easy to implement.,Positive
Recommended,Neutral
Just started,Neutral
Great. Can’t wait to get started,Positive
Very insightful! Learning things about IG I just didn't know.,Positive
"Very, clear, easy to follow and very relatable.",Positive
"Good, basic information to start!",Positive
"So far so good, informative education!",Positive
It’s still my first lesson. I can’t review and justify till I more further more. Thankyou,Positive
"Just started and saw how FB works, everything is okay",Positive
I like it I want to do a lot things and get a lot followers,Neutral
"Good app, interactive and responds to you individual requirements. Clever",Positive
I liked the information given by the Riseguide,Positive
Great so far,Positive
Top! For réal,Positive
The information was short easy to read. I would have liked to see how many times should we post in the day and should it be like a timeframe 10 o’clock 3 o’clock 6 o’clock or can it be 10 o’clock 11 o’clock 12 o’clock 1 o’clock which works best? What should be the timeframe between each post,Positive
Directions are on point,Neutral
In fifteen minutes this app is helping me already,Neutral
"Just started it so I don't know if its gonna work, but the tools seem h0elpful so we will see",Neutral
It’s easy and dynamic helping to get it done and stay focused on the task even if you have attention deficit,Positive
"Great help, very well explained, very clear",Positive
Very quick and precise,Positive
"So far, so good.",Positive
Insightful,Neutral
Nice and good app to get follow❤️👍,Positive
I like the tips offered in this app. They are powerful and thought-provoking.,Positive
Thanks universe! First lesson done 🤙🏻,Positive
Nice program.,Positive
"Helpful, lots of information",Neutral
I’m starting to really like this app,Neutral
I love learning all this. I thought it was impossible but I see a strategic move now.,Neutral
I start rising from the first day I use this app,Positive
It’s a pleasure having you as a helper to help me grow my page i really appreciate it. Thank for sharing your experience with me may God bless us,Positive
Simple and straight forward.,Neutral
"Just like other writers here, I bought one rise guide off Instagram for £19.00. Now I've just seen that they have taken £59.99 from my account which I never committed to. I have sent them an email because I need this cancelled. That's a scam for sure!",Positive
Explanation about hook not alwayes relate with what we do/build,Neutral
Just started this. Lessons come in easy chunks.,Positive
Easy to understand,Positive
Nice app thoughtful time efforts e,Positive
"Just starts using Rideguide but it all seems very comprehensive and well put together. I shall start implementing the processes they teach and monitor the results.They’re completely transparent, it’s not get rich quick, it’s work smart and be consistent. That resonates well with me.",Positive
Quick and practical way to star reflecting on being your  best version.,Positive
Ok great wonderful,Positive
Some things are basic and already content people are familiar with,Positive
Liked that now I have a better understanding on what algorithm is.,Positive
It’s definitely helpful information but i am wondering if there are templates and a step by step process to better achieve a better audience and overall instagram that stands out to others.,Positive
"Be aware! They are big time scammers, they make you do the trial for a small amount, promising they will refund your money if you are not satisfy, but that’s not true! They make it difficult for you to cancel because they don’t even send you the receipt of your subscription, they say only $19 but they will charge $50 every month, and the worse excuse is you subscribed, deceiving in their promise of if you are not satisfy with the product I will return your money, they won’t do it!!! Horrible horrible service, DO NOT FALL FOR THIS!",Negative
i hope it’s working well,Neutral
Not worth it,Negative
"Clear, concise info that answered lots of questions regarding the subject matter. Beautifully laid out and presented too.",Positive
It's a total SCAMMMM!!! They are charging my card every month for something I didn't approve or buy. Run!! if you can!,Neutral
Just started but yes I can’t wait for more,Positive
"I was not satisfied with the service or the customer support. I don’t believe they are professional. I requested a refund within the allowed time, and as stated on their website, “if you’re not satisfied, we’ll refund you.” However, this feels like a false promise — in order to receive the refund, I was asked to send my full card number by email, which I find unsafe, especially since they already have all the necessary information to issue the refund. They looked for any excuse to avoid processing it. Terrible service. I gave one star only because zero wasn’t an option.",Negative
I am just starting out!,Neutral
AwakeningImpactfulHighly recommended,Neutral
"The information received was to the point. It made me reflect on myself. I like the ability to provide a goal and receive actionable, relevant feedback immediately.",Positive
So far so good.,Positive
"Rise guide made it easier to understand, it's great and useful guide and I bless to have it ❣️",Positive
Easy to notice what I’m wrong not right to build my business now and how to change,Neutral
Helpful information. Looking forward to diving into this further!,Neutral
"The positive reviews on here are are fake. If you check the statistics, only one of the reviews on here comes from a verified user!",Neutral
Informative already and I’ve just started!,Neutral
Just finished the first lesson and learned a lot. So far so good!,Positive
I'm learning some good things already.,Positive
It’s really amazing how Instagram works way different than what I thought,Positive
Well untill now it is ok. butt only saw the first lesson,Positive
"It's too early to tell, but it's easy to use so far. You should ask for reviews at the end, not 2 minutes after the person signed up. We don't have my data to share.",Positive
"It made a lot of sense, but wasn’t tailored to individual questions, although there is a section for “anything else “ which I tried to use to discuss certain issues I was struggling with",Positive
I only did one class. I have no ideas.,Neutral
This is such a great app!   Helps identify any weaknesses in presentation form,Positive
"Good ideas, helpful and useful for beginners",Positive
So far everything is good and informative.,Positive
I just enjoyed,Positive
good insights,Positive
I definitely learned some helpful tips and I guess the number one being I need to do more videos.,Positive
Very informative and in a simple easy to follow format.,Positive
Interesting and engaging,Positive
I like it so far let’s see what the results are!,Positive
A complete scam and ripoff; the website continues to charge you even after you unsubscribed.Do not ever share your credit card information with those scammers.,Neutral
Clear instructions,Positive
Learning the algorithm,Neutral
My experience… being strategic and friendly to become more successful… and genuinely and kind to everyone to support your vocacy,Positive
Everything mentioned I’m already doing it,Neutral
I've just begun with this but it seems informative so far.,Neutral
Very informative,Positive
"I’ve only been using RiseGuide for a short time, but it already changed how I look at IG. The 15-min algorithm video alone gave me tools I’ve never seen anywhere else. Locked in now more than ever.",Positive
Straight shooter,Positive
Really good tips I’m putting into use,Positive
Want information more interactive,Positive
Good. Helped give me good hooks!,Positive
"The class I just took is something I already see on Instagram and know about it, but did appreciate the clarification and confirmation of the tips!",Neutral
"I live in South Korea and unfortunately I can't download the app on my phone because it's not available in this country.So I contacted RISEGUIDE and I'm pleasantly surprised by how efficient this platform and its staff are.There is a solution that involves using a computer, and I am really grateful for that because it's my preferred method! They responded within a week (so quickly) and now I can enjoy my subscription.The first lesson was very fun and perfectly designed so that everyone could understand how the algorithm works, for example ^^Thank you to them!",Positive
So far so good,Positive
Great App! Amazing and clear and very knowledgeable! Highly recommend when you’re looking to understand how instagram works with current trends and smart tools to combat exposure,Positive
It’s the beginning but great so far,Positive
Completed my first lesson today and already learned a couple of things I will put into action on my next content,Positive
Great. Awesome.,Positive
They were responsive and helpful.,Neutral
This is great I love that it is given in small bite size easy to understand sentences. A young child could understand it. That is great. Thank you,Positive
Aiutatemi per crescere,Neutral
Great start. Love it,Positive
Easy and to the point,Positive
Good easy content to follow,Positive
Navigating the basic principles of instagram,Neutral
The knowledge,Neutral
I am learning the tools to be smart in social media. Finally good tips. I have been in the shadow of ignorance for long enough.,Positive
Great tips already! Day 1 :D,Positive
"I loved it, cheer up ❤️✨",Positive
Explained things in an easy to understand manner. Easy to implement going farther,Positive
"I had to cancel my subscription and request a refund due to financial difficulties, and the team  at RiseGuide, especially Sandy, handled everything with genuine kindness and care. I’m really grateful for the support and kindness you've shown throughout this process. It’s rare to come across such compassionate service, and I want to acknowledge how much it helped ease the stress of the situation.Excellent customer service — thank you!",Positive
"Today is the first day, we will see how this goes. Very excited.",Positive
1st and they have broke down the basics… how the algorithm works and how to be pushed to the for you page,Negative
"It is my 1st day, nice advices",Positive
I took my first lesson just now and until now it feels wow and very excited to start this course and see it actually works,Positive
I’m learning right now,Positive
Wow. Awesome program becoming a successful content creator. Its incredible.,Positive
Learning as a senior…this website is very helpful!!!,Positive
"Very helpful, good value for money, easy to understand.",Positive
"So far, I like the aspect of something helping me conquer my fears. It’s helping me self connect and put actions to my experience.It orders my thoughts and helps me stay clear/ level headed and consistent",Positive
Im very happy,Positive
Good introduction,Positive
"I am new in this. So far, I received good information.",Positive
Cool beanssss,Positive
Easy to follow instructions,Positive
Very helpful,Positive
So far great,Positive
"It’s definitely lessons needed to learn the algorithm, but I wish it was longer sessions.",Neutral
Good so far only first lesson though,Positive
Easy to follow,Positive
This is interesting so far. I hope it will help me understand instagram more.,Positive
Love the app! Some really great ideas and insights! Yay!,Positive
"It’s just the beginning, but I am already enjoying it.",Positive
It’s holding my full attention and insightful,Positive
Still learning,Neutral
Just started.,Neutral
it’s great for someone new like me! grateful this platform exists! don’t have to second guess anything & I can imporve in areas which I’m struggling in.  It’s a great tool to invest in!,Positive
Thanks Riseguide! Your information is clear and easy to understand. I'm learning a lot already.,Positive
"On the very day I cancelled my account due to the product being nothing like advertised, I was charged €59 without any justification. I had initially agreed to a specific amount, which was charged at the time, but I was never informed of any further payments. This was an unauthorized and illegal charge. You are clearly taking advantage of having the client’s payment details and making unjustified debits.",Neutral
Nothing you are just new let me see how is your work going to improve your offer!,Positive
It gave me info to build my confidence.,Neutral
Easy to read and clear on how to improve on your content creation.,Positive
There were some helpful tips,Neutral
"Helpful, interesting and very easy to understand :)",Positive
Awesome content,Positive
My experience was great because I never knew there was such a thing as an algorithm and how it works,Positive
So far all the information I read is repeated information from ig users.What i like is that it's clear. I'm hoping my brain can stick to the tips I'm learning,Neutral
"I just started so I cannot really give review, let’s see",Positive
"It was so quick, simple and easy to understand what I need to focus on to grow my audience.  Thinking about what would cause people to want to share my posts....",Positive
Its okay for the first time. I am nor sure where it takes me the next weeks.,Positive
"I’ve just started using Riseguide but it seems very time-effective and the info gets to the point quickly, which I like.",Positive
"Can you provide examples, like videos",Neutral
Brilliantly structured and easy to understand.,Positive
Perfect and easy to use app! Easy instructions to follow and not to much information to take in at once,Positive
When you are starting a business start up it’s great help. Thanks goes to the creators! Many thanks and have a lovely time :),Positive
It‘s actually common sense. Just needed to read it. Thanks,Neutral
"Good tips, nice video",Positive
It was plenty of resources opportunity to subscribe for the period timeframe that I did!!,Neutral
So far it’s giving me knowledge I did not know since I am a beginner at content creating or how instagram works to gain followers,Neutral
"I have not executed the lesson yet, but it really motivated me.",Positive
"One interaction and expect a review is madness 😠After spending time in the app it looks very awesome 👌  I give 5 stars for my 2nd day, let's see how I feel in 12 weeks time.",Positive
So far a good introduction,Positive
"good very good, very very good",Positive
Straighten forward approach getting in contact with the client and making him curious about the key point of interests,Neutral
"I'd like interactive support, looking into my icial media profile and working on it in real time with me. Also, I'd like tips on how to create content that stays true to me as an artist in this niche style while following your instructions on how to engage. but these don't seem to match",Positive
It’s to the point and very clear and easy to implement thank you,Positive
Very easy to understand,Positive
Easy to comprehend and understand the process,Positive
"Great, I like so much",Positive
Easy and available.,Positive
"Just started , all good so far",Positive
Its the begining so i guess good,Positive
Good information,Positive
Easy to read and understand. Gets right to the meat of the information needed.,Positive
I am amazed at the quality of Rise's lead capture form and the quality of the lessons. Congratulations,Neutral
Easy to follow and made sense. I'm ready for more insight.,Positive
"The app is helpful especially for beginners who want to grow their accounts, it really provides useful tips on how to grow your account engagement",Positive
Excellent experience,Positive
First lesson is ok. Let see what comes next,Positive
It's interesting and exciting.,Positive
It is really useful as it is step by step,Positive
I like that you are showing what most of us need to hear keep it up.,Positive
I enjoyed learning about reel content and hooks.,Positive
Sandy was compassionate and efficient with issuing me a refund and cancelling my subscription after an unauthorised payment was noticed on my account.,Neutral
Just got started with the app. I’m looking forward to continuing and seeing the results in my business,Neutral
Being Straight forward,Positive
The simplicity and ease of understanding is relaxing and inspired hope that it's doable.,Neutral
Easy. Short. Fast. Able to act on all the tips provided,Positive
Clear. Engaging.,Positive
Very user friendly,Positive
The best. Love this pag,Positive
"It was good. However I am looking fwd to know how to have more power, presence and warmth",Positive
"Easy to follow, clear content.",Positive
Good! I’m excited,Positive
I love that it shows you simple strategies to achieve your goals,Positive
Easy to understand 😌 👌 💯,Positive
You made me feel happy 😁 badaBinGbadaBooM 😂,Positive
Nothing but positives can come from learning,Neutral
Great advice. Easy to follow. Proven repeatable strategies for success.,Positive
I love the simple and relatable approach used. I have learnt that Action is greater than perfection. Thank you 🙏,Positive
Yes it's really good 💯,Positive
Good info and easy to follow. Just found it a bit expensive.,Positive
"Is something new for me , I'm very excited",Positive
Scam - Please avoid at all costs.Signed up for a course with a “one off fee” of £19.99.  Several weeks later they have taken £59.99 from my account.,Neutral
Did the first lesson and have learned so much!,Positive
"It is very comprehensive, besides the useful pointers, it cites research, shares examples. These are bite sized and easy to understand.",Positive
Scam. Signed up for a course that said it was a one off fee and then was charged £59.99 by direct debit 14 days later. I reached out to cancel and get a refund. I was sent a form and then I have heard nothing since. This happened in May and is now July.,Neutral
"One lesson in, so far so good.",Positive
Very helpful,Positive
"The first lesson was filled with some good information. Now, I’m ready for the next lol",Positive
Great experience,Positive
Clear concise information- laid out well.,Neutral
Customer service is the absolute worst. The product is not worth anything either for anyone who already works in the social media space.,Negative
Very knowledgeable. Thank you.,Positive
Easy to understand,Positive
"So far good, just got in",Positive
Lesson one is great for understanding the basic algorithm of Instagram and the do’s/dont’s,Positive
I learned so much already and it’s only been a couple of minutes!! I look forward to more!!,Positive
Intriguing,Positive
"Audience GrowingI really enjoyed learning on how to grow my audience on Facebook, the information is quite easy to understand.I discovered why I was having difficulty growing my audience and I learned the steps I should follow to make things work.Thank you so much.",Positive
To make money online nd get payment after posting video,Neutral
You guys gave me strong tips which I believe will help me,Positive
"UI design is amazing props to the team. The advice is sound and helps users trying to grow. Amazing discussion board as well to connect with other like minded individuals.I didn’t really have time to use most of the features on this app yet, so I apologize if some of the things that i mention were already addressed.There are features that I would like to see implemented:- Connecting Instagram Accounts- Verification to minimize bots- Forum or Reddit like discussion pages- Dark mode- Tracking Instagram stats- Bans on unethical users- Sponsorships- Call center- 1 on 1 coaching- agent managementTake my review with a grain of salt. In reality I am just nitpicking and don’t see any problems. . .yet. For now, I will continue to use the app because I can already tell that this is something that would benefit me in the future.There are many books and ChatGPT does exist. In order to combat the regurgitated information, quality advice should be given by professionals. So far, it seems that everything was written by real, talented individuals. Using robot advice from machine learning would make me change my review in a heartbeat.All in all, the app is great. And it seems that this app was meant for creative minds who want to expand their business.What I Don’t Like:I think that subscription models and paid services are overrated and am waiting to be hit with the content block just like every other app. I mean I can’t blame you people have to make money somehow. Therefore, if I will pay for this service, I would need to get my money’s worth. This app has to be competitive with other apps that are trying to do the same thing. Stand out by selling to the right people, not those who are looking for get rich quick schemes.Growing a brand takes a lot of time and investment, so the right individual/ audience that this app is catered to: must be an ethical person.Ethical in the sense that they are promoting good values that align with their dreams. I despise sellout companies that would give this information to racists and bigots that feed on the hopes and dreams of their audience.Overall, this is just my 2 cents after using this app for 5 minutes.",Positive
It's ok for first leasson,Positive
Learnt something I don’t know,Neutral
Very insightful,Positive
Fantastic job,Positive
I'm really excited to bring up a newer version of me and Riseguide will help me in this journey.,Positive
Not really started so can't say much,Neutral
I would wish practical examples not only theory which I already know,Neutral
Easy to use. Hope it helps me grow my account,Positive
It’s informative and delivers value,Neutral
Thanks a lot appreciate the support,Positive
"The app is easy to use and offers concrete, useful tips.",Positive
Great for beginners,Positive
So far so good some great information,Positive
"So far got a few tips and my first lesson of my 4 week plan, and so for so good, the more you know the better, I think this app is very instructive and with good tools that if YOU want you can definitely use for your benefit.",Positive
Great information that I did not even think about from lesson one.,Positive
"Came across Riseguide, and decided to try. After first lesson, I realised there is room to improve for me. Thank you Team. Looking forward to next lesson.",Positive
Super disappointed.This feels like spam — they took €130 from my PayPal account without providing any real service. I only received a short e-guide with just a few pages and no real value whatsoever.Be cautious. I do not recommend them at all!,Neutral
O would  like to have some“Art” details,Neutral
Well it’s explaining how to grab my audiences attention that I need to focus on a topic people can relate to and will want to talk about so it has helped me pick a subject on what I will talk about my for my content,Negative
"So far so good, it’s a great platform and am already seeing myself to learning more and succeed with what I would want to achieve. Fear and luck of ideas is what was making me fail",Positive
Very snackable but valuable content so far,Positive
Not ready to give a review but if I can’t move forward in my course then I have to,Neutral
So far so good,Positive
"So far, so good!",Positive
I didnt learn anything more than i knew...,Positive
Nice layout and efficient.,Positive
👍  Content is informative!,Neutral
Great quality of information,Positive
I’m enjoying this guide and will recommend for all beginners.,Positive
Great app easy to follow,Positive
Very convenient,Positive
it is great and very explanatory,Positive
So far this app seems very knowledgeable and i think i will learn alot,Positive
scammers.All positive reviews on here are fake.,Negative
Easy to use and follow,Positive
Found a few keys to what I’m not doing.,Negative
So far everything has been straightforward and clear. Not leaving ideas for question,Positive
"I have been SCAMMED by this company.I was looking at the advert on Instagram - it stated one price.In fact I didn't even click ""buy"" I had auto filled the form, I was looking at their terms and it 'took' the money without my permission. (I did not click ""buy"" and only realised they had taken payment when I checked my bank account.)One price was advertised But they charged more than 10 times the advertised cost. !!!Read the reviews - the positive ones are clear AI generated.Read the negative ones - from people who are angry at the way this company has behaved. It really seems to be a SCAM.- consistently adding unapproved charges- consistently avoiding customer service- consistently refusing to stop recurring charges- consistently avoiding refunds- consistently stating one price then charging another (illegal).On top of that - anyone who has gone on to look at the actual content they provide has been disappointed - it seems there's simply a bunch of AI generated essays with no unique or useful information. - No value!It seems customer services is also AI and the only way to stop them from taking more money is by raising a dispute with your bank.They're generating hundreds of AI reviews to try to combat the truth from getting out.Go look on Reddit the real reviews are the same - people saying this is a SCAM. All trying to work out how to stop damage and stop further payments being taken from their bank account.Cancel the payment from your bank - do not wait for their customer services - it seems apparent that they are only trying to delay you so they can take the next payment from your bank.Avoid!",Positive
"The communications I have received from RiseGuide's customer support team Aria and Linda have left a lasting impression on me. The depth of understanding and courtesy extended to me were outstanding, and they are to be commended for their excellence.",Positive
I love the way you structured the content guys!!,Positive
"All positive reviews on here are fake, generic, simple one-liners with poor English. Most have one review on their accounts. There's definitely a market for something like what this app claims to offer, but this isn't it. Please, save your money.",Neutral
Haven't learned enough yet to trust it or rate it yet but I will give a full review later  I'm optimistic that this will be good but I'm only 15 minutes into the program.,Positive
"The content actually ecxites me,its like a new dawn of oppotunity to discover new insights",Neutral
This is easy to follow. I’m older and not as knowledgeable most. I like the combination of short videos and written information.,Positive
It’s not complet,Neutral
It wasn’t what I expected.,Neutral
Good tips to try,Positive
"The lessons are short, precise concise, and practical.",Positive
I wish I started using il Makiage a long time ago - this is a complete game changer!!!,Negative
Easy to follow lessons,Positive
Easy to use and understand!,Positive
Good to explore and grow .,Positive
Waw wonderful app,Positive
It is helping us to learn about business and marketing,Neutral
Great project for leaders,Positive
It was too short I wanted more info in day one,Positive
Very user friendly,Positive
Good and positive start,Positive
"Beware!  They auto-renew without sending you notifications, and you can't easily unsubscribe.  After I got charged, I asked them for a refund, they asked me to fill a form, then refused to refund me, offering me half (I wrote them the day after the charge--- And I noticed another one that I hadn't seen.They have very shady practices.  When I signed up, I thought it was a legitimate course by Andrew Huberman.  It turns out, it is AI bullshit.  I checked the content a bit and never returned back.  Even the initial 60USD was too expensive for this crap.  Then they charged me 160USD for another 6 months of this crap.Now I think I'll have to change my credit card, reading other reviews scares me that they will charge me again even though my subscription is supposed to be canceled!",Negative
WARNING This is a fraudulent product. Do not purchase.,Neutral
Helpful tips!,Neutral
"Good so far , really happy",Positive
I had already cancelled my rise guide but my auto payment continued,Neutral
Easy to read - lots of information,Positive
I love the User Interface. Very intuitive and the lessons are easy to follow and understand.,Positive
My experience is good,Positive
So far so good,Positive
this is an exemplary service that guides you every step of the way in your online social media biz & promo,Neutral
"Simple, fast and effective",Positive
Good revision and opportunity areas to enbrance your charisma and fill up your mind with positive thoughts.,Positive
"I’m thinking about a new plan, and I’ve already received many good ideas",Positive
It opens readers mind to simple things that make one confidence among crowds while being himself.,Neutral
Still waiting to see how this works…. But looking good already and I’m loving it.,Positive
"Easy, clear and productive",Positive
"Can’t rate yet, need more time to utilise tools",Positive
This helps on how to be creative .  It allows you to think positively,Positive
Helpful. Few learn a lot new thing I have never know,Neutral
"It's easy, practice and cool. Lesson 1, here we go.",Positive
"Im a honest person, im be respect",Positive
Good and I hope I'll get a positive outcome,Positive
Awesome my pleasure I am excited,Positive
The content is easy to use and understand.,Positive
"Lessons are easy to follow, getting some useful constructive ideas. Has also allowed me to spot some mistakes I'm making.",Positive
Please refund the two months subscription you took after cancellation. This is a very bad way of stealing from people. Have sent several mails with no resolution,Negative
"Quick Easy, Fun",Positive
This app is really helpful! I thought I knew what I needed but clearly I didn’t. Each step was actionable!,Positive
Very clear and descriptive,Positive
They speak. directly to your pain points and have an actionable plan on how to help with them.,Neutral
